temps,x_soleil,y_soleil,x_terre,y_terre,derive_E 
0.9705,0,0,0.9835163316143938,-0.2199617411494557,0.007547414304392244
0.9706,0,0,0.9836529232984588,-0.21935101598906975,0.007548179591670154
0.9707,0,0,0.983789135666557,-0.21874020599531827,0.007548944878565336
0.9708,0,0,0.9839249686662325,-0.2181293114037915,0.007549710165078133
0.9709,0,0,0.9840604222451756,-0.21751833245011218,0.007550475451210259
0.9710,0,0,0.9841954963512233,-0.21690726936993535,0.007551240736960571
0.9711,0,0,0.9843301909323582,-0.2162961223989483,0.007552006022329184
0.9712,0,0,0.9844645059367098,-0.21568489177287048,0.007552771307318041
0.9713,0,0,0.9845984413125536,-0.21507357772745336,0.007553536591925655
0.9714,0,0,0.9847319970083117,-0.21446218049848043,0.007554301876152827
0.9715,0,0,0.9848651729725525,-0.21385070032176698,0.007555067160000128
0.9716,0,0,0.9849979691539907,-0.21323913743316014,0.007555832443467788
0.9717,0,0,0.9851303855014877,-0.21262749206853873,0.0075565977265554625
0.9718,0,0,0.9852624219640509,-0.21201576446381318,0.0075573630092641815
0.9719,0,0,0.9853940784908346,-0.21140395485492539,0.007558128291594173
0.9720,0,0,0.9855253550311394,-0.2107920634778487,0.007558893573545437
0.9721,0,0,0.9856562515344123,-0.2101800905685878,0.007559658855117517
0.9722,0,0,0.9857867679502469,-0.2095680363631786,0.007560424136311898
0.9723,0,0,0.9859169042283835,-0.2089559010976882,0.007561189417128696
0.9724,0,0,0.9860466603187088,-0.20834368500821468,0.007561954697567108
0.9725,0,0,0.986176036171256,-0.20773138833088717,0.007562719977628622
0.9726,0,0,0.9863050317362051,-0.2071190113018656,0.007563485257312667
0.9727,0,0,0.9864336469638826,-0.20650655415734076,0.007564250536620271
0.9728,0,0,0.9865618818047616,-0.20589401713353409,0.00756501581555109
0.9729,0,0,0.9866897362094619,-0.2052814004666976,0.00756578109410524
0.9730,0,0,0.98681721012875,-0.2046687043931139,0.0075665463722839775
0.9731,0,0,0.9869443035135392,-0.20405592914909598,0.007567311650086045
0.9732,0,0,0.9870710163148894,-0.20344307497098713,0.007568076927512701
0.9733,0,0,0.987197348484007,-0.2028301420951609,0.0075688422045640585
0.9734,0,0,0.9873232999722455,-0.202217130758021,0.0075696074812404614
0.9735,0,0,0.9874488707311052,-0.2016040411960012,0.00757037275754191
0.9736,0,0,0.9875740607122329,-0.2009908736455652,0.007571138033468631
0.9737,0,0,0.9876988698674223,-0.20037762834320663,0.007571903309021656
0.9738,0,0,0.9878232981486139,-0.19976430552544888,0.007572668584199954
0.9739,0,0,0.9879473455078953,-0.19915090542884503,0.007573433859004554
0.9740,0,0,0.9880710118975007,-0.19853742828997775,0.007574199133435801
0.9741,0,0,0.9881942972698112,-0.19792387434545924,0.007574964407493121
0.9742,0,0,0.988317201577355,-0.19731024383193113,0.007575729681178115
0.9743,0,0,0.9884397247728071,-0.19669653698606435,0.007576494954490327
0.9744,0,0,0.9885618668089892,-0.19608275404455908,0.007577260227429412
0.9745,0,0,0.9886836276388702,-0.19546889524414462,0.0075780254999959435
0.9746,0,0,0.9888050072155661,-0.1948549608215794,0.007578790772191292
0.9747,0,0,0.9889260054923396,-0.19424095101365077,0.007579556044013972
0.9748,0,0,0.9890466224226006,-0.19362686605717494,0.007580321315465355
0.9749,0,0,0.9891668579599059,-0.1930127061889969,0.007581086586545556
0.9750,0,0,0.9892867120579595,-0.19239847164599036,0.007581851857254802
0.9751,0,0,0.9894061846706123,-0.19178416266505763,0.0075826171275928675
0.9752,0,0,0.9895252757518623,-0.1911697794831295,0.007583382397560092
0.9753,0,0,0.9896439852558547,-0.19055532233716516,0.007584147667157278
0.9754,0,0,0.9897623131368819,-0.18994079146415221,0.007584912936383966
0.9755,0,0,0.9898802593493831,-0.1893261871011064,0.0075856782052406155
0.9756,0,0,0.9899978238479449,-0.18871150948507168,0.007586443473728369
0.9757,0,0,0.9901150065873011,-0.18809675885312002,0.007587208741846197
0.9758,0,0,0.9902318075223325,-0.18748193544235137,0.007587974009595244
0.9759,0,0,0.9903482266080673,-0.18686703948989353,0.007588739276974136
0.9760,0,0,0.9904642637996808,-0.18625207123290208,0.007589504543984933
0.9761,0,0,0.9905799190524955,-0.18563703090856032,0.007590269810627634
0.9762,0,0,0.9906951923219813,-0.1850219187540791,0.007591035076901781
0.9763,0,0,0.9908100835637553,-0.18440673500669683,0.007591800342807718
0.9764,0,0,0.9909245927335819,-0.18379147990367928,0.00759256560834613
0.9765,0,0,0.9910387197873728,-0.18317615368231954,0.007593330873516904
0.9766,0,0,0.9911524646811869,-0.182560756579938,0.007594096138320497
0.9767,0,0,0.9912658273712306,-0.1819452888338821,0.007594861402756679
0.9768,0,0,0.9913788078138577,-0.1813297506815264,0.007595626666825681
0.9769,0,0,0.9914914059655692,-0.1807141423602724,0.007596391930528415
0.9770,0,0,0.9916036217830136,-0.1800984641075484,0.007597157193864767
0.9771,0,0,0.9917154552229869,-0.17948271616080957,0.007597922456834625
0.9772,0,0,0.9918269062424323,-0.1788668987575377,0.007598687719438901
0.9773,0,0,0.9919379747984406,-0.1782510121352412,0.007599452981677367
0.9774,0,0,0.9920486608482499,-0.17763505653145495,0.007600218243550024
0.9775,0,0,0.9921589643492461,-0.1770190321837403,0.0076009835050574424
0.9776,0,0,0.9922688852589623,-0.17640293932968482,0.007601748766199966
0.9777,0,0,0.9923784235350791,-0.1757867782069024,0.007602514026977594
0.9778,0,0,0.9924875791354247,-0.17517054905303298,0.007603279287390441
0.9779,0,0,0.992596352017975,-0.1745542521057426,0.00760404454743908
0.9780,0,0,0.9927047421408532,-0.17393788760272327,0.007604809807123166
0.9781,0,0,0.9928127494623303,-0.17332145578169278,0.007605575066443614
0.9782,0,0,0.9929203739408247,-0.17270495688039475,0.007606340325399968
0.9783,0,0,0.9930276155349024,-0.17208839113659846,0.007607105583993026
0.9784,0,0,0.9931344742032772,-0.17147175878809875,0.007607870842222904
0.9785,0,0,0.9932409499048103,-0.170855060072716,0.007608636100089488
0.9786,0,0,0.9933470425985108,-0.17023829522829595,0.007609401357592777
0.9787,0,0,0.9934527522435354,-0.16962146449270965,0.007610166614733571
